,player_id,full_name,status,team,position
6305,6305,Austin Cutting,Inactive,,LS
788,788,Dion Lewis,Injured Reserve,,RB
5043,5043,Nathan Shepherd,Active,NO,DT
8241,8241,Anthony Brown,Active,ARI,QB
5854,5854,Drew Lock,Active,NYG,QB
5021,5021,Lorenzo Carter,Active,ATL,LB
7519,7519,Aaron Patrick,Active,,DE
2936,2936,Rasheed Williams,Inactive,,RB
9,9,Mike Scifres,Inactive,,P
4594,4594,Alex Barrett,Active,SF,DE
3211,3211,Paul Perkins,Active,,RB
7593,7593,Trey Sermon,Active,IND,RB
3731,3731,Eric Lee,Inactive,,DE
6489,6489,Taryn Christion,Active,,QB
11855,11855,Amari Gainer,Active,LV,LB
8391,8391,Dominique Robinson,Active,CHI,DL
7614,7614,Darius Clark,Active,,RB
6966,6966,Javon Leake,Active,,RB
1209,1209,Robert Blanton,Inactive,,FS
4548,4548,Joel Bouagnon,Active,,RB
7967,7967,Lawrence White,Active,,DB
114,114,Todd Herremans,Inactive,,G
5316,5316,Will Clapp,Active,BUF,C
12354,12354,Easton Dean,Active,,TE
3021,3021,Devin Gardner,Inactive,,WR
11579,11579,Audric Estime,Active,DEN,RB
2267,2267,Jimmie Ward,Inactive,HOU,DB
342,342,Cameron Wake,Active,,DE
11572,11572,Tahj Brooks,Active,,RB
1588,1588,Nick Moody,Inactive,,LB
6206,6206,Cody Brown,Inactive,,SS
2225,2225,Alex Bayer,Inactive,,TE
4809,4809,Brandon Greene,Active,,G
6125,6125,Jeffery Simmons,Active,TEN,DT
3294,3294,Dak Prescott,Inactive,DAL,QB
4031,4031,Travis Wilson,Active,,TE
4084,4084,Tyus Bowser,Inactive,MIA,LB
6241,6241,Jontrell Rocquemore,Inactive,,S
11611,11611,De'Corian Clark,Active,,WR
11252,11252,Christian Young,Active,,DB
1910,1910,Connor Shaw,Injured Reserve,,QB
7770,7770,Patrick Johnson,Inactive,NYG,LB
7373,7373,Gus Cumberlander,Active,,DE
3499,3499,Dillon Lee,Inactive,,OLB
16,16,Ray Rice,Inactive,,RB
51,51,Anthony Fasano,Inactive,,TE
12330,12330,Aaron Brule,Active,,LB
